rowNo,subjectGroup,type,block,stim1,stimFormat,audio,random,presTime,ITI,responseType,responseOptions,head,button1,button2,button3,button4,button5,required,condition,animacy,image_shown,seperator,ITI_ms,ITI_f,ITI_fDuration,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,responseCode,id,age,sex,handedness,fps_start,fps_M,fps_SD
2,0,form,,,,,,,,dropdown,American Indian or Alaska Native;Asian;Black or African American;Native Hawaiian or Other Pacific Islander; White;More than one;Not Listed,With which race do you identify?,,,,,,1,,,,1,,,,,,,80008,Asian,6809,2,915347528,22,female,right-handed,59.98,58.97,0.97
3,0,form,,,,,,,,dropdown,yes;no,Do you identify as Hispanic,,,,,,1,,,,1,,,,,,,80008,no,6809,2,915347528,,,,,,
18,1,test,encoding,smartphone_2,.png,smartphoneA.mp3,1,400,700,,,,animate image,inanimate image,,,,,congruent,inanimate,smartphone,,700,0,0,393,24,16.36,137344,2,1380,,915347528,,,,,,
13,1,test,encoding,penguin_1,.png,penguinA.mp3,1,400,700,,,,animate image,inanimate image,,,,,congruent,animate,penguin,,700,42,16.67,400,24,16.67,139291,1,979,,915347528,,,,,,
45,1,test,encoding,jet_1,.png,noise10.mp3,1,400,700,,,,animate image,inanimate image,,,,,control,inanimate,jet,,700,42,16.67,400,24,16.67,141866,2,1604,,915347528,,,,,,
35,1,test,encoding,bell_5,.png,dogA.mp3,1,400,700,,,,animate image,inanimate image,,,,,incongruent,inanimate,bell,,700,42,16.67,400,24,16.67,143702,2,887,,915347528,,,,,,
25,1,test,encoding,cat_1,.png,doorA.mp3,1,400,700,,,,animate image,inanimate image,,,,,incongruent,animate,cat,,700,42,16.67,400,24,16.67,145739,1,1078,,915347528,,,,,,
39,1,test,encoding,frog_1,.png,noise4.mp3,1,400,700,,,,animate image,inanimate image,,,,,control,animate,frog,,700,42,16.67,400,24,16.67,148009,1,1298,,915347528,,,,,,
14,1,test,encoding,leopard_1,.png,leopardA.mp3,1,400,700,,,,animate image,inanimate image,,,,,congruent,animate,leopard,,700,42,16.67,400,24,16.67,149545,1,582,,915347528,,,,,,
32,1,test,encoding,camera_1,.png,frogA.mp3,1,400,700,,,,animate image,inanimate image,,,,,incongruent,inanimate,camera,,700,42,16.67,400,24,16.67,151548,2,1046,,915347528,,,,,,
44,1,test,encoding,keyboard_2,.png,noise9.mp3,1,400,700,,,,animate image,inanimate image,,,,,control,inanimate,keyboard,,700,42,16.67,400,24,16.67,153652,2,1101,,915347528,,,,,,
36,1,test,encoding,horse_1,.png,noise1.mp3,1,400,700,,,,animate image,inanimate image,,,,,control,animate,horse,,700,42,16.67,400,24,16.67,155484,1,913,,915347528,,,,,,
37,1,test,encoding,goose_1,.png,noise2.mp3,1,400,700,,,,animate image,inanimate image,,,,,control,animate,goose,,708,42,16.67,400,24,16.67,157440,1,1042,,915347528,,,,,,
11,1,test,encoding,rat_1,.png,ratA.mp3,1,400,700,,,,animate image,inanimate image,,,,,congruent,animate,rat,,700,42,16.84,400,24,16.67,159328,1,944,,915347528,,,,,,
17,1,test,encoding,stapler_1,.png,staplerA.mp3,1,400,700,,,,animate image,inanimate image,,,,,congruent,inanimate,stapler,,700,42,16.67,400,24,16.67,161191,2,862,,915347528,,,,,,
29,1,test,encoding,door_1,.png,hammerA.mp3,1,400,700,,,,animate image,inanimate image,,,,,incongruent,inanimate,door,,700,42,16.67,400,24,16.67,163072,2,967,,915347528,,,,,,
41,1,test,encoding,dog_2,.png,noise6.mp3,1,400,700,,,,animate image,inanimate image,,,,,control,animate,dog,,700,42,16.67,400,24,16.67,164822,1,808,,915347528,,,,,,
9,1,test,encoding,tiger_1,.png,tigerA.mp3,1,400,700,,,,animate image,inanimate image,,,,,congruent,animate,tiger,,700,42,16.67,400,24,16.67,166761,1,1002,,915347528,,,,,,
8,1,test,encoding,wolf_1,.png,wolfA.mp3,1,400,700,,,,animate image,inanimate image,,,,,congruent,animate,wolf,,700,42,16.67,400,24,16.67,169019,1,1314,,915347528,,,,,,
34,1,test,encoding,bicycle_1,.png,deerA.mp3,1,400,700,,,,animate image,inanimate image,,,,,incongruent,inanimate,bicycle,,700,42,16.67,400,24,16.67,170680,2,725,,915347528,,,,,,
15,1,test,encoding,washer_2,.png,washerA.mp3,1,400,700,,,,animate image,inanimate image,,,,,congruent,inanimate,washer,,700,42,16.67,400,24,16.67,172397,2,799,,915347528,,,,,,
47,1,test,encoding,guitar_3,.png,noise12.mp3,1,400,700,,,,animate image,inanimate image,,,,,control,inanimate,guitar,,700,42,16.67,400,24,16.67,174075,2,738,,915347528,,,,,,
26,1,test,encoding,bird_1,.png,hammerA.mp3,1,400,700,,,,animate image,inanimate image,,,,,incongruent,animate,bird,,700,42,16.67,400,24,16.67,175610,1,799,,915347528,,,,,,
28,1,test,encoding,bat_1,.png,drumA.mp3,1,400,700,,,,animate image,inanimate image,,,,,incongruent,animate,bat,,700,42,16.67,400,24,16.66,177391,1,780,,915347528,,,,,,
33,1,test,encoding,boat_1,.png,elephantA.mp3,1,400,700,,,,animate image,inanimate image,,,,,incongruent,inanimate,boat,,700,42,16.67,400,24,16.67,179146,2,792,,915347528,,,,,,
20,1,test,encoding,saw_1,.png,sawA.mp3,1,400,700,,,,animate image,inanimate image,,,,,congruent,inanimate,saw,,700,42,16.67,400,24,16.67,180857,2,761,,915347528,,,,,,
49,1,test,encoding,drill_1,.png,noise14.mp3,1,400,700,,,,animate image,inanimate image,,,,,control,inanimate,drill,,700,42,16.67,400,24,16.67,182826,2,1064,,915347528,,,,,,
46,1,test,encoding,hammer_3,.png,noise11.mp3,1,400,700,,,,animate image,inanimate image,,,,,control,inanimate,hammer,,700,42,16.67,400,24,16.67,184585,2,856,,915347528,,,,,,
43,1,test,encoding,motorcycle_1,.png,noise8.mp3,1,400,700,,,,animate image,inanimate image,,,,,control,inanimate,motorcycle,,700,42,16.67,400,24,16.67,186704,2,1184,,915347528,,,,,,
12,1,test,encoding,pig_3,.png,pigA.mp3,1,400,700,,,,animate image,inanimate image,,,,,congruent,animate,pig,,700,42,16.67,401,24,16.72,188332,1,717,,915347528,,,,,,
22,1,test,encoding,crocodile_2,.png,horseA.mp3,1,400,700,,,,animate image,inanimate image,,,,,incongruent,animate,crocodile,,700,42,16.67,400,24,16.67,189737,1,507,,915347528,,,,,,
48,1,test,encoding,drum_2,.png,noise13.mp3,1,400,700,,,,animate image,inanimate image,,,,,control,inanimate,drum,,700,42,16.67,400,24,16.67,191367,2,702,,915347528,,,,,,
10,1,test,encoding,snake_1,.png,snakeA.mp3,1,400,700,,,,animate image,inanimate image,,,,,congruent,animate,snake,,700,42,16.67,400,24,16.67,193062,1,679,,915347528,,,,,,
42,1,test,encoding,deer_4,.png,noise7.mp3,1,400,700,,,,animate image,inanimate image,,,,,control,animate,deer,,700,42,16.67,400,24,16.67,194680,1,663,,915347528,,,,,,
